2025-06-15 11:59:46,848 - INFO - Запуск парсера с запросом: кран шаровой, max_products: 0, resume: False, links_file: None
2025-06-15 12:01:04,850 - INFO - Прокрутка страницы, собрано ссылок: 768
2025-06-15 12:01:05,363 - INFO - Собрано новых ссылок: 96, всего: 780
2025-06-15 12:01:05,365 - INFO - Прокрутка страницы, собрано ссылок: 780
2025-06-15 12:01:05,884 - INFO - Собрано новых ссылок: 96, всего: 780
2025-06-15 12:01:05,886 - INFO - Прокрутка страницы, собрано ссылок: 780
2025-06-15 12:01:06,401 - INFO - Собрано новых ссылок: 96, всего: 792
2025-06-15 12:01:06,403 - INFO - Прокрутка страницы, собрано ссылок: 792
2025-06-15 12:01:06,928 - INFO - Собрано новых ссылок: 96, всего: 792
2025-06-15 12:01:06,930 - INFO - Прокрутка страницы, собрано ссылок: 792
2025-06-15 12:01:07,461 - INFO - Собрано новых ссылок: 96, всего: 792
2025-06-15 12:01:07,464 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:01:07,464 - INFO - Прокрутка страницы, собрано ссылок: 792
2025-06-15 12:01:07,988 - INFO - Собрано новых ссылок: 96, всего: 804
2025-06-15 12:01:07,992 - INFO - Прокрутка страницы, собрано ссылок: 804
2025-06-15 12:01:08,513 - INFO - Собрано новых ссылок: 96, всего: 816
2025-06-15 12:01:08,514 - INFO - Прокрутка страницы, собрано ссылок: 816
2025-06-15 12:01:09,028 - INFO - Собрано новых ссылок: 96, всего: 816
2025-06-15 12:01:09,030 - INFO - Прокрутка страницы, собрано ссылок: 816
2025-06-15 12:01:09,547 - INFO - Собрано новых ссылок: 96, всего: 828
2025-06-15 12:01:09,549 - INFO - Прокрутка страницы, собрано ссылок: 828
2025-06-15 12:01:10,079 - INFO - Собрано новых ссылок: 96, всего: 828
2025-06-15 12:01:10,081 - INFO - Прокрутка страницы, собрано ссылок: 828
2025-06-15 12:01:10,610 - INFO - Собрано новых ссылок: 96, всего: 828
2025-06-15 12:01:10,613 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:01:10,613 - INFO - Прокрутка страницы, собрано ссылок: 828
2025-06-15 12:01:11,136 - INFO - Собрано новых ссылок: 96, всего: 840
2025-06-15 12:01:11,138 - INFO - Прокрутка страницы, собрано ссылок: 840
2025-06-15 12:01:11,662 - INFO - Собрано новых ссылок: 96, всего: 852
2025-06-15 12:01:11,665 - INFO - Прокрутка страницы, собрано ссылок: 852
2025-06-15 12:01:12,185 - INFO - Собрано новых ссылок: 96, всего: 852
2025-06-15 12:01:12,187 - INFO - Прокрутка страницы, собрано ссылок: 852
2025-06-15 12:01:12,709 - INFO - Собрано новых ссылок: 96, всего: 864
2025-06-15 12:01:12,712 - INFO - Прокрутка страницы, собрано ссылок: 864
2025-06-15 12:01:13,242 - INFO - Собрано новых ссылок: 96, всего: 864
2025-06-15 12:01:13,245 - INFO - Прокрутка страницы, собрано ссылок: 864
2025-06-15 12:01:13,769 - INFO - Собрано новых ссылок: 96, всего: 864
2025-06-15 12:01:13,771 - INFO - Новых ссылок не найдено, попытка 1/5
2025-06-15 12:01:13,772 - INFO - Прокрутка страницы, собрано ссылок: 864
2025-06-15 12:01:14,301 - INFO - Собрано новых ссылок: 96, всего: 876
2025-06-15 12:01:14,303 - INFO - Прокрутка страницы, собрано ссылок: 876
2025-06-15 12:01:14,822 - INFO - Собрано новых ссылок: 96, всего: 888
2025-06-15 12:01:14,825 - INFO - Прокрутка страницы, собрано ссылок: 888
2025-06-15 12:01:15,351 - INFO - Собрано новых ссылок: 96, всего: 888
2025-06-15 12:01:15,353 - INFO - Прокрутка страницы, собрано ссылок: 888
2025-06-15 12:01:15,875 - INFO - Собрано новых ссылок: 96, всего: 900
2025-06-15 12:01:15,876 - INFO - Прокрутка страницы, собрано ссылок: 900
2025-06-15 12:01:16,403 - INFO - Собрано новых ссылок: 96, всего: 900
2025-06-15 12:01:16,405 - INFO - Прокрутка страницы, собрано ссылок: 900
2025-06-15 12:01:17,005 - INFO - Собрано новых ссылок: 96, всего: 924
2025-06-15 12:01:17,007 - INFO - Прокрутка страницы, собрано ссылок: 924
2025-06-15 12:01:17,562 - INFO - Собрано новых ссылок: 96, всего: 924
2025-06-15 12:01:17,565 - INFO - Прокрутка страницы, собрано ссылок: 924
2025-06-15 12:01:18,076 - INFO - Собрано новых ссылок: 96, всего: 936
2025-06-15 12:01:18,077 - INFO - Прокрутка страницы, собрано ссылок: 936
2025-06-15 12:01:18,604 - INFO - Собрано новых ссылок: 96, всего: 936
2025-06-15 12:01:18,636 - INFO - Прокрутка страницы, собрано ссылок: 936
2025-06-15 12:01:19,175 - INFO - Собрано новых ссылок: 96, всего: 948
2025-06-15 12:01:19,177 - INFO - Прокрутка страницы, собрано ссылок: 948
2025-06-15 12:01:19,749 - INFO - Собрано новых ссылок: 96, всего: 960
2025-06-15 12:01:19,753 - INFO - Прокрутка страницы, собрано ссылок: 960
2025-06-15 12:01:20,282 - INFO - Собрано новых ссылок: 96, всего: 960
2025-06-15 12:01:20,284 - INFO - Прокрутка страницы, собрано ссылок: 960
2025-06-15 12:01:20,797 - INFO - Собрано новых ссылок: 96, всего: 972
2025-06-15 12:01:20,798 - INFO - Прокрутка страницы, собрано ссылок: 972
2025-06-15 12:01:21,328 - INFO - Собрано новых ссылок: 96, всего: 972
2025-06-15 12:01:21,331 - INFO - Прокрутка страницы, собрано ссылок: 972
2025-06-15 12:01:21,863 - INFO - Собрано новых ссылок: 96, всего: 972
2025-06-15 12:01:21,866 - INFO - Прокрутка страницы, собрано ссылок: 972
2025-06-15 12:01:22,382 - INFO - Собрано новых ссылок: 96, всего: 984
2025-06-15 12:01:22,383 - INFO - Прокрутка страницы, собрано ссылок: 984
2025-06-15 12:01:22,902 - INFO - Собрано новых ссылок: 96, всего: 996
2025-06-15 12:01:22,904 - INFO - Прокрутка страницы, собрано ссылок: 996
2025-06-15 12:01:23,427 - INFO - Собрано новых ссылок: 96, всего: 996
2025-06-15 12:01:23,430 - INFO - Прокрутка страницы, собрано ссылок: 996
2025-06-15 12:01:23,956 - INFO - Собрано новых ссылок: 96, всего: 1008
2025-06-15 12:01:23,960 - INFO - Прокрутка страницы, собрано ссылок: 1008
2025-06-15 12:01:24,488 - INFO - Собрано новых ссылок: 96, всего: 1008
2025-06-15 12:01:24,491 - INFO - Прокрутка страницы, собрано ссылок: 1008
